Date,nino34,nino3,nino4,iod,soi,nino34_lag1,nino34_lag2,nino34_lag3,nino3_lag1,nino3_lag2,nino3_lag3,nino4_lag1,nino4_lag2,nino4_lag3,iod_lag1,iod_lag2,iod_lag3,soi_lag1,soi_lag2,soi_lag3,nino34_roll3,nino3_roll3,nino4_roll3,iod_roll3,soi_roll3,future_nino34
1951-04-01,-0.23,-0.21,-0.42,-0.513,-0.3,-0.38,-1.04,-1.3,-0.33,-0.76,-0.87,-0.58,-1.11,-1.1,0.259,0.211,0.256,-0.1,0.9,1.5,-0.55,-0.4333333333333333,-0.7033333333333333,-0.014333333333333345,0.16666666666666666,-0.01
1951-05-01,-0.01,-0.18,0.26,-0.138,-0.7,-0.23,-0.38,-1.04,-0.21,-0.33,-0.76,-0.42,-0.58,-1.11,-0.513,0.259,0.211,-0.3,-0.1,0.9,-0.20666666666666667,-0.24,-0.24666666666666667,-0.13066666666666668,-0.3666666666666667,0.0
1951-06-01,0.0,0.04,0.08,-0.19,0.2,-0.01,-0.23,-0.38,-0.18,-0.21,-0.33,0.26,-0.42,-0.58,-0.138,-0.513,0.259,-0.7,-0.3,-0.1,-0.08,-0.11666666666666665,-0.026666666666666658,-0.2803333333333333,-0.2666666666666666,0.3
1951-07-01,0.3,0.62,0.23,-0.22,-1.0,0.0,-0.01,-0.23,0.04,-0.18,-0.21,0.08,0.26,-0.42,-0.19,-0.138,-0.513,0.2,-0.7,-0.3,0.09666666666666666,0.16,0.19000000000000003,-0.18266666666666667,-0.5,0.17
1951-08-01,0.17,0.41,-0.26,0.124,-0.2,0.3,0.0,-0.01,0.62,0.04,-0.18,0.23,0.08,0.26,-0.22,-0.19,-0.138,-1.0,0.2,-0.7,0.15666666666666665,0.35666666666666663,0.01666666666666668,-0.09533333333333334,-0.3333333333333333,0.51
1951-09-01,0.51,0.46,-0.12,-0.005,-1.1,0.17,0.3,0.0,0.41,0.62,0.04,-0.26,0.23,0.08,0.124,-0.22,-0.19,-0.2,-1.0,0.2,0.32666666666666666,0.4966666666666666,-0.04999999999999999,-0.03366666666666667,-0.7666666666666666,0.49
1951-10-01,0.49,0.6,-0.22,-0.168,-1.0,0.51,0.17,0.3,0.46,0.41,0.62,-0.12,-0.26,0.23,-0.005,0.124,-0.22,-1.1,-0.2,-1.0,0.38999999999999996,0.49,-0.19999999999999998,-0.01633333333333334,-0.7666666666666666,0.55
1951-11-01,0.55,0.8,-0.04,0.123,-0.8,0.49,0.51,0.17,0.6,0.46,0.41,-0.22,-0.12,-0.26,-0.168,-0.005,0.124,-1.0,-1.1,-0.2,0.5166666666666667,0.62,-0.12666666666666665,-0.016666666666666673,-0.9666666666666667,0.31
1951-12-01,0.31,0.61,0.04,-0.073,-0.7,0.55,0.49,0.51,0.8,0.6,0.46,-0.04,-0.22,-0.12,0.123,-0.168,-0.005,-0.8,-1.0,-1.1,0.45,0.6699999999999999,-0.07333333333333332,-0.03933333333333334,-0.8333333333333334,0.13
1952-01-01,0.13,0.14,-0.04,-0.069,-0.9,0.31,0.55,0.49,0.61,0.8,0.6,0.04,-0.04,-0.22,-0.073,0.123,-0.168,-0.7,-0.8,-1.0,0.33,0.5166666666666667,-0.013333333333333324,-0.006333333333333334,-0.7999999999999999,-0.01
