Date,nino34,nino3,nino4,iod,soi
1948-01-01,,,,,
1948-02-01,,,,,
1948-03-01,,,,,
1948-04-01,,,,,
1948-05-01,,,,,
1948-06-01,,,,,
1948-07-01,,,,,
1948-08-01,,,,,
1948-09-01,,,,,
1948-10-01,,,,,
1948-11-01,,,,,
1948-12-01,,,,,
1949-01-01,,,,,
1949-02-01,,,,,
1949-03-01,,,,,
1949-04-01,,,,,
1949-05-01,,,,,
1949-06-01,,,,,
1949-07-01,,,,,
1949-08-01,,,,,
1949-09-01,,,,,
1949-10-01,,,,,
1949-11-01,,,,,
1949-12-01,,,,,
1950-01-01,-1.99,-2.1,-1.38,0.08,
1950-02-01,-1.69,-1.52,-1.53,-0.44,
1950-03-01,-1.42,-0.84,-1.8,-0.22,
1950-04-01,-1.54,-1.14,-1.73,-0.06,
1950-05-01,-1.75,-1.57,-1.18,-0.03,
1950-06-01,-1.27,-1.11,-0.84,-0.16,
1950-07-01,-1.01,-0.9,-1.26,-0.08,
1950-08-01,-0.97,-0.65,-1.25,-0.16,
1950-09-01,-0.98,-0.89,-1.49,-0.54,
1950-10-01,-1.03,-0.81,-1.63,-0.53,
1950-11-01,-1.23,-1.24,-1.7,-0.27,
1950-12-01,-1.31,-1.08,-1.4,0.01,
1951-01-01,-1.3,-0.87,-1.1,0.06,1.5
1951-02-01,-1.04,-0.76,-1.11,0.4,0.9
1951-03-01,-0.38,-0.33,-0.58,0.26,-0.1
1951-04-01,-0.23,-0.21,-0.42,-0.09,-0.3
1951-05-01,-0.01,-0.18,0.26,0.16,-0.7
1951-06-01,0.0,0.04,0.08,-0.12,0.2
1951-07-01,0.3,0.62,0.23,-0.17,-1.0
1951-08-01,0.17,0.41,-0.26,-0.19,-0.2
1951-09-01,0.51,0.46,-0.12,-0.03,-1.1
1951-10-01,0.49,0.6,-0.22,-0.32,-1.0
1951-11-01,0.55,0.8,-0.04,0.21,-0.8
1951-12-01,0.31,0.61,0.04,0.2,-0.7
1952-01-01,0.13,0.14,-0.04,0.12,-0.9
1952-02-01,-0.01,-0.04,-0.16,0.22,-0.6
1952-03-01,-0.11,-0.15,-0.34,0.13,0.5
1952-04-01,-0.02,-0.31,-0.16,0.54,-0.2
1952-05-01,-0.14,-0.61,-0.25,0.29,0.8
1952-06-01,-0.54,-0.92,-0.47,-0.17,0.7
1952-07-01,-0.76,-0.99,-0.77,-0.35,0.5
1952-08-01,-0.56,-0.68,-0.79,-0.46,0.1
1952-09-01,-0.36,-0.64,-0.37,-0.54,-0.2
1952-10-01,-0.46,-0.62,-0.7,-0.62,0.4
1952-11-01,-0.78,-1.03,-0.54,0.03,0.0
1952-12-01,-0.39,-0.56,-0.69,0.15,-1.2
1953-01-01,0.2,0.06,-0.34,0.48,0.3
1953-02-01,0.24,0.22,-0.22,0.5,-0.5
1953-03-01,0.29,0.31,-0.29,0.31,-0.2
1953-04-01,0.22,0.13,-0.14,-0.14,0.2
1953-05-01,0.35,0.12,0.01,0.49,-1.7
1953-06-01,0.39,0.26,0.18,0.01,0.1
1953-07-01,0.14,-0.07,-0.05,-0.18,-0.0
1953-08-01,0.09,-0.06,-0.22,0.02,-1.2
1953-09-01,0.29,0.28,-0.46,0.05,-1.2
1953-10-01,0.16,0.12,-0.1,-0.17,0.1
1953-11-01,0.18,0.04,-0.11,0.09,-0.3
1953-12-01,0.41,0.2,0.03,0.08,-0.5
1954-01-01,0.43,-0.16,0.04,-0.23,0.7
1954-02-01,0.28,-0.13,-0.02,0.11,-0.3
1954-03-01,-0.38,-0.65,-0.35,0.28,0.3
1954-04-01,-1.17,-1.97,-0.71,0.32,0.6
1954-05-01,-0.81,-1.64,-0.71,0.09,0.5
1954-06-01,-0.93,-1.58,-0.8,-0.17,0.1
1954-07-01,-1.18,-1.46,-1.08,-0.53,0.4
1954-08-01,-1.43,-1.56,-1.16,-0.58,1.1
1954-09-01,-1.6,-1.73,-1.27,-0.79,0.2
1954-10-01,-1.48,-1.66,-1.48,-0.89,0.3
1954-11-01,-1.13,-1.46,-1.16,-0.17,0.1
1954-12-01,-1.33,-1.55,-1.24,-0.31,1.4
1955-01-01,-0.93,-0.86,-0.91,-0.4,-0.5
1955-02-01,-0.95,-0.71,-1.09,-0.42,1.9
1955-03-01,-1.06,-0.9,-1.23,0.01,0.6
1955-04-01,-1.22,-1.31,-1.06,0.05,-0.1
1955-05-01,-1.28,-1.82,-1.1,-0.55,1.0
1955-06-01,-1.18,-1.69,-0.96,-0.52,1.3
1955-07-01,-1.15,-1.41,-0.86,-0.29,1.6
1955-08-01,-1.35,-1.45,-1.25,-0.08,1.5
1955-09-01,-1.43,-1.68,-1.35,-0.58,1.3
1955-10-01,-2.31,-2.4,-2.0,-0.76,1.5
1955-11-01,-2.45,-2.39,-2.0,0.1,1.2
1955-12-01,-2.03,-2.09,-1.45,0.05,1.0
1956-01-01,-1.2,-1.06,-1.28,0.33,1.3
1956-02-01,-0.99,-0.7,-1.19,0.38,1.6
1956-03-01,-0.83,-0.54,-1.1,-0.15,1.3
1956-04-01,-0.97,-0.66,-1.1,-0.3,0.9
1956-05-01,-0.8,-0.76,-0.91,-0.53,1.4
1956-06-01,-0.92,-0.85,-0.79,-0.63,1.1
1956-07-01,-1.06,-1.03,-1.04,-0.63,1.1
1956-08-01,-1.17,-1.06,-1.46,-0.25,1.2
1956-09-01,-0.98,-1.03,-1.42,-0.88,0.1
1956-10-01,-0.97,-1.07,-1.12,-0.92,1.8
1956-11-01,-1.14,-1.33,-0.81,-0.69,0.2
1956-12-01,-0.89,-1.21,-0.65,-0.23,1.1
1957-01-01,-0.51,-0.72,-0.61,-0.66,0.6
