Date,IOD
1950-01-01,0.08
1950-02-01,-0.44
1950-03-01,-0.22
1950-04-01,-0.06
1950-05-01,-0.03
1950-06-01,-0.16
1950-07-01,-0.08
1950-08-01,-0.16
1950-09-01,-0.54
1950-10-01,-0.53
1950-11-01,-0.27
1950-12-01,0.01
1951-01-01,0.06
1951-02-01,0.4
1951-03-01,0.26
1951-04-01,-0.09
1951-05-01,0.16
1951-06-01,-0.12
1951-07-01,-0.17
1951-08-01,-0.19
1951-09-01,-0.03
1951-10-01,-0.32
1951-11-01,0.21
1951-12-01,0.2
1952-01-01,0.12
1952-02-01,0.22
1952-03-01,0.13
1952-04-01,0.54
1952-05-01,0.29
1952-06-01,-0.17
1952-07-01,-0.35
1952-08-01,-0.46
1952-09-01,-0.54
1952-10-01,-0.62
1952-11-01,0.03
1952-12-01,0.15
1953-01-01,0.48
1953-02-01,0.5
1953-03-01,0.31
1953-04-01,-0.14
1953-05-01,0.49
1953-06-01,0.01
1953-07-01,-0.18
1953-08-01,0.02
1953-09-01,0.05
1953-10-01,-0.17
1953-11-01,0.09
1953-12-01,0.08
1954-01-01,-0.23
1954-02-01,0.11
1954-03-01,0.28
1954-04-01,0.32
1954-05-01,0.09
1954-06-01,-0.17
1954-07-01,-0.53
1954-08-01,-0.58
1954-09-01,-0.79
1954-10-01,-0.89
1954-11-01,-0.17
1954-12-01,-0.31
1955-01-01,-0.4
1955-02-01,-0.42
1955-03-01,0.01
1955-04-01,0.05
1955-05-01,-0.55
1955-06-01,-0.52
1955-07-01,-0.29
1955-08-01,-0.08
1955-09-01,-0.58
1955-10-01,-0.76
1955-11-01,0.1
1955-12-01,0.05
1956-01-01,0.33
1956-02-01,0.38
1956-03-01,-0.15
1956-04-01,-0.3
1956-05-01,-0.53
1956-06-01,-0.63
1956-07-01,-0.63
1956-08-01,-0.25
1956-09-01,-0.88
1956-10-01,-0.92
1956-11-01,-0.69
1956-12-01,-0.23
1957-01-01,-0.66
1957-02-01,-0.14
1957-03-01,-0.01
1957-04-01,-0.02
1957-05-01,0.11
1957-06-01,-0.33
1957-07-01,-0.23
1957-08-01,-0.12
1957-09-01,-0.07
1957-10-01,-0.23
1957-11-01,-0.55
1957-12-01,-0.42
1958-01-01,-0.46
1958-02-01,-0.26
1958-03-01,0.0
1958-04-01,-0.18
1958-05-01,-0.57
1958-06-01,-0.98
1958-07-01,-0.85
1958-08-01,-0.62
1958-09-01,-1.0
1958-10-01,-0.96
1958-11-01,-0.53
1958-12-01,0.06
1959-01-01,0.49
1959-02-01,0.12
1959-03-01,-0.24
1959-04-01,-0.25
1959-05-01,-0.63
1959-06-01,-0.7
1959-07-01,-0.6
1959-08-01,-0.47
1959-09-01,-0.49
1959-10-01,-0.67
1959-11-01,-0.33
1959-12-01,-0.18
1960-01-01,-0.2
1960-02-01,0.08
1960-03-01,-0.15
1960-04-01,-0.6
1960-05-01,-0.97
1960-06-01,-0.72
1960-07-01,-0.57
1960-08-01,-0.72
1960-09-01,-0.92
1960-10-01,-1.11
1960-11-01,-1.08
1960-12-01,-0.67
1961-01-01,-0.18
1961-02-01,0.16
1961-03-01,0.19
1961-04-01,-0.2
1961-05-01,-0.32
1961-06-01,0.18
1961-07-01,0.81
1961-08-01,1.08
1961-09-01,1.37
1961-10-01,0.98
1961-11-01,0.73
1961-12-01,0.61
1962-01-01,0.87
1962-02-01,0.72
1962-03-01,0.26
1962-04-01,0.18
1962-05-01,-0.12
1962-06-01,-0.28
1962-07-01,-0.34
1962-08-01,-0.09
1962-09-01,-0.08
1962-10-01,-0.15
1962-11-01,0.08
1962-12-01,0.2
1963-01-01,0.18
1963-02-01,0.57
1963-03-01,0.36
1963-04-01,-0.0
1963-05-01,-0.69
1963-06-01,-0.25
1963-07-01,0.22
1963-08-01,0.81
1963-09-01,0.71
1963-10-01,0.69
1963-11-01,0.55
1963-12-01,0.22
1964-01-01,-0.14
1964-02-01,-0.37
1964-03-01,0.05
1964-04-01,0.46
1964-05-01,-0.27
1964-06-01,-0.2
1964-07-01,-0.34
1964-08-01,-0.46
1964-09-01,-0.87
1964-10-01,-0.57
1964-11-01,0.39
1964-12-01,0.11
1965-01-01,0.09
1965-02-01,-0.17
1965-03-01,0.21
1965-04-01,0.2
1965-05-01,-0.11
1965-06-01,-0.26
1965-07-01,-0.17
1965-08-01,0.11
1965-09-01,-0.08
1965-10-01,0.28
1965-11-01,0.16
1965-12-01,-0.19
1966-01-01,0.09
1966-02-01,0.08
1966-03-01,0.0
1966-04-01,0.0
1966-05-01,-0.34
1966-06-01,0.05
1966-07-01,0.06
1966-08-01,0.47
1966-09-01,0.04
1966-10-01,-0.27
1966-11-01,-0.37
1966-12-01,-0.01
1967-01-01,-0.08
1967-02-01,-0.12
1967-03-01,0.48
1967-04-01,0.31
1967-05-01,0.13
1967-06-01,0.49
1967-07-01,0.68
1967-08-01,0.64
1967-09-01,0.69
1967-10-01,0.56
1967-11-01,0.49
1967-12-01,0.19
1968-01-01,0.13
1968-02-01,0.52
1968-03-01,-0.01
1968-04-01,0.16
1968-05-01,0.1
1968-06-01,-0.01
1968-07-01,-0.01
1968-08-01,-0.13
1968-09-01,-0.63
1968-10-01,-0.28
1968-11-01,-0.03
1968-12-01,0.04
1969-01-01,0.12
1969-02-01,0.04
1969-03-01,0.06
1969-04-01,-0.18
1969-05-01,-0.17
1969-06-01,-0.5
1969-07-01,-0.37
1969-08-01,-0.32
1969-09-01,-0.23
1969-10-01,0.32
1969-11-01,0.05
1969-12-01,0.04
1970-01-01,0.43
1970-02-01,0.27
1970-03-01,0.23
1970-04-01,0.26
1970-05-01,0.35
1970-06-01,-0.37
1970-07-01,-0.25
1970-08-01,0.08
1970-09-01,-0.35
1970-10-01,-0.63
1970-11-01,-0.34
1970-12-01,-0.14
1971-01-01,0.19
1971-02-01,0.19
1971-03-01,0.53
1971-04-01,0.7
1971-05-01,0.23
1971-06-01,0.02
1971-07-01,-0.15
1971-08-01,-0.51
1971-09-01,-0.42
1971-10-01,-0.75
1971-11-01,-0.0
1971-12-01,0.27
1972-01-01,0.52
1972-02-01,-0.08
1972-03-01,0.1
1972-04-01,0.11
1972-05-01,0.36
1972-06-01,0.89
1972-07-01,0.66
1972-08-01,0.56
1972-09-01,0.79
1972-10-01,0.83
1972-11-01,0.91
1972-12-01,0.61
1973-01-01,0.57
1973-02-01,-0.01
1973-03-01,0.22
1973-04-01,0.17
1973-05-01,0.15
1973-06-01,-0.14
1973-07-01,-0.08
1973-08-01,-0.47
1973-09-01,-0.46
1973-10-01,-0.3
1973-11-01,-0.11
1973-12-01,-0.04
1974-01-01,0.34
1974-02-01,0.47
1974-03-01,0.57
1974-04-01,0.27
1974-05-01,0.03
1974-06-01,0.32
1974-07-01,-0.1
1974-08-01,-0.2
1974-09-01,-0.61
1974-10-01,-0.34
1974-11-01,-0.42
1974-12-01,-0.17
1975-01-01,-0.5
1975-02-01,0.11
1975-03-01,-0.19
1975-04-01,0.35
1975-05-01,0.08
1975-06-01,0.34
1975-07-01,0.37
1975-08-01,-0.43
1975-09-01,-1.04
1975-10-01,-1.19
1975-11-01,-0.58
1975-12-01,-0.03
1976-01-01,-0.06
1976-02-01,0.13
1976-03-01,0.1
1976-04-01,-0.02
1976-05-01,-0.01
1976-06-01,0.47
1976-07-01,0.86
1976-08-01,0.31
1976-09-01,-0.13
1976-10-01,-0.37
1976-11-01,-0.25
1976-12-01,0.26
1977-01-01,0.2
1977-02-01,0.08
1977-03-01,0.17
1977-04-01,0.02
1977-05-01,-0.31
1977-06-01,-0.01
1977-07-01,0.05
1977-08-01,0.11
1977-09-01,-0.04
1977-10-01,0.61
1977-11-01,0.24
1977-12-01,0.37
1978-01-01,-0.62
1978-02-01,-0.34
1978-03-01,-0.17
1978-04-01,-0.04
1978-05-01,-0.13
1978-06-01,0.24
1978-07-01,0.12
1978-08-01,-0.05
1978-09-01,0.21
1978-10-01,0.16
1978-11-01,-0.23
1978-12-01,-0.24
1979-01-01,0.25
1979-02-01,-0.11
1979-03-01,-0.21
1979-04-01,0.12
1979-05-01,0.12
1979-06-01,0.46
1979-07-01,0.08
1979-08-01,-0.24
1979-09-01,-0.46
1979-10-01,-0.42
1979-11-01,-0.6
1979-12-01,-0.23
1980-01-01,0.11
1980-02-01,0.25
1980-03-01,-0.16
1980-04-01,0.35
1980-05-01,0.36
1980-06-01,-0.42
1980-07-01,-0.24
1980-08-01,0.13
1980-09-01,-0.53
1980-10-01,-0.49
1980-11-01,-0.27
1980-12-01,0.09
1981-01-01,0.13
1981-02-01,0.32
1981-03-01,-0.11
1981-04-01,0.53
1981-05-01,0.12
1981-06-01,-0.18
1981-07-01,-0.42
1981-08-01,-0.54
1981-09-01,-0.69
1981-10-01,-0.57
1981-11-01,-0.35
1981-12-01,-0.24
1982-01-01,0.08
1982-02-01,0.31
1982-03-01,0.39
1982-04-01,0.43
1982-05-01,0.46
1982-06-01,0.33
1982-07-01,0.42
1982-08-01,0.43
1982-09-01,0.18
1982-10-01,0.87
1982-11-01,0.29
1982-12-01,-0.18
1983-01-01,-0.23
1983-02-01,-0.48
1983-03-01,-0.9
1983-04-01,-0.82
1983-05-01,-0.2
1983-06-01,0.31
1983-07-01,0.8
1983-08-01,0.41
1983-09-01,0.24
1983-10-01,-0.09
1983-11-01,0.08
1983-12-01,-0.1
1984-01-01,-0.02
1984-02-01,0.02
1984-03-01,0.02
1984-04-01,0.5
1984-05-01,-0.4
1984-06-01,-0.33
1984-07-01,-0.42
1984-08-01,-0.25
1984-09-01,-0.34
1984-10-01,-0.33
1984-11-01,-0.42
1984-12-01,-0.19
1985-01-01,0.06
1985-02-01,-0.02
1985-03-01,-0.07
1985-04-01,-0.14
1985-05-01,0.03
1985-06-01,-0.44
1985-07-01,0.11
1985-08-01,-0.02
1985-09-01,0.01
1985-10-01,-0.25
1985-11-01,0.5
1985-12-01,0.23
1986-01-01,0.13
1986-02-01,0.22
1986-03-01,0.53
1986-04-01,0.31
1986-05-01,0.17
1986-06-01,0.12
1986-07-01,-0.2
1986-08-01,0.26
1986-09-01,0.55
1986-10-01,0.04
1986-11-01,0.65
1986-12-01,-0.02
1987-01-01,0.03
1987-02-01,-0.21
1987-03-01,-0.26
1987-04-01,-0.5
1987-05-01,0.03
1987-06-01,-0.01
1987-07-01,-0.24
1987-08-01,0.2
1987-09-01,0.26
1987-10-01,0.24
1987-11-01,0.0
1987-12-01,-0.01
1988-01-01,0.26
1988-02-01,-0.11
1988-03-01,0.05
1988-04-01,0.21
1988-05-01,-0.63
1988-06-01,-0.14
1988-07-01,-0.0
1988-08-01,-0.09
1988-09-01,-0.53
1988-10-01,-0.64
1988-11-01,-0.41
1988-12-01,0.01
1989-01-01,-0.43
1989-02-01,0.22
1989-03-01,-0.13
1989-04-01,-0.07
1989-05-01,-0.39
1989-06-01,-0.64
1989-07-01,0.01
1989-08-01,-0.63
1989-09-01,-0.5
1989-10-01,-0.8
1989-11-01,-0.38
1989-12-01,-0.32
1990-01-01,0.44
1990-02-01,-0.09
1990-03-01,0.01
1990-04-01,-0.22
1990-05-01,-0.63
1990-06-01,-0.46
1990-07-01,0.05
1990-08-01,-0.36
1990-09-01,-0.5
1990-10-01,-1.14
1990-11-01,-0.69
1990-12-01,-0.35
1991-01-01,0.07
1991-02-01,0.09
1991-03-01,-0.06
1991-04-01,0.76
1991-05-01,0.9
1991-06-01,0.49
1991-07-01,0.32
1991-08-01,-0.09
1991-09-01,0.26
1991-10-01,0.18
1991-11-01,0.28
1991-12-01,0.3
1992-01-01,-0.43
1992-02-01,-0.69
1992-03-01,-0.61
1992-04-01,-0.29
1992-05-01,-0.38
1992-06-01,-0.85
1992-07-01,-0.56
1992-08-01,-1.02
1992-09-01,-0.72
1992-10-01,-0.61
1992-11-01,-0.15
1992-12-01,-0.29
1993-01-01,-0.02
1993-02-01,-0.07
1993-03-01,-0.4
1993-04-01,-0.18
1993-05-01,0.22
1993-06-01,0.19
1993-07-01,0.47
1993-08-01,-0.15
1993-09-01,-0.38
1993-10-01,-0.31
1993-11-01,-0.22
1993-12-01,-0.19
1994-01-01,0.2
1994-02-01,-0.05
1994-03-01,-0.23
1994-04-01,0.28
1994-05-01,0.74
1994-06-01,0.43
1994-07-01,0.72
1994-08-01,1.13
1994-09-01,0.97
1994-10-01,1.43
1994-11-01,0.19
1994-12-01,0.03
1995-01-01,-0.01
1995-02-01,0.53
1995-03-01,0.3
1995-04-01,0.31
1995-05-01,-0.02
1995-06-01,-0.07
1995-07-01,-0.57
1995-08-01,-0.59
1995-09-01,-0.29
1995-10-01,-0.44
1995-11-01,-0.71
1995-12-01,0.02
1996-01-01,0.36
1996-02-01,0.2
1996-03-01,-0.24
1996-04-01,-0.88
1996-05-01,-0.46
1996-06-01,-0.75
1996-07-01,-0.56
1996-08-01,-0.96
1996-09-01,-0.82
1996-10-01,-1.09
1996-11-01,-0.75
1996-12-01,-0.3
1997-01-01,-0.01
1997-02-01,0.32
1997-03-01,0.1
1997-04-01,0.08
1997-05-01,-0.04
1997-06-01,0.14
1997-07-01,0.54
1997-08-01,0.35
1997-09-01,0.74
1997-10-01,0.99
1997-11-01,1.55
1997-12-01,1.07
1998-01-01,0.77
1998-02-01,0.13
1998-03-01,-0.16
1998-04-01,0.07
1998-05-01,-0.02
1998-06-01,-0.19
1998-07-01,-0.84
1998-08-01,-0.75
1998-09-01,-0.58
1998-10-01,-0.77
1998-11-01,-0.87
1998-12-01,-0.43
1999-01-01,-0.46
1999-02-01,-0.13
1999-03-01,0.12
1999-04-01,-0.16
1999-05-01,-0.27
1999-06-01,-0.03
1999-07-01,0.23
1999-08-01,0.21
1999-09-01,0.1
1999-10-01,-0.51
1999-11-01,-0.18
1999-12-01,-0.02
2000-01-01,-0.01
2000-02-01,0.52
2000-03-01,0.76
2000-04-01,0.18
2000-05-01,0.33
2000-06-01,0.03
2000-07-01,0.13
2000-08-01,-0.1
2000-09-01,-0.02
2000-10-01,-0.21
2000-11-01,0.0
2000-12-01,0.14
2001-01-01,0.13
2001-02-01,0.43
2001-03-01,0.4
2001-04-01,-0.02
2001-05-01,-0.36
2001-06-01,-0.05
2001-07-01,-0.74
2001-08-01,-0.39
2001-09-01,-0.6
2001-10-01,-0.69
2001-11-01,-0.23
2001-12-01,-0.03
2002-01-01,-0.32
2002-02-01,0.2
2002-03-01,-0.4
2002-04-01,-0.4
2002-05-01,-0.54
2002-06-01,-0.22
2002-07-01,-0.25
2002-08-01,-0.4
2002-09-01,0.54
2002-10-01,0.54
2002-11-01,0.23
2002-12-01,-0.24
2003-01-01,-0.35
2003-02-01,0.22
2003-03-01,0.27
2003-04-01,0.09
2003-05-01,0.24
2003-06-01,0.36
2003-07-01,0.32
2003-08-01,0.4
2003-09-01,-0.08
2003-10-01,-0.19
2003-11-01,-0.32
2003-12-01,0.07
2004-01-01,-0.02
2004-02-01,0.04
2004-03-01,0.15
2004-04-01,0.0
2004-05-01,-0.59
2004-06-01,-0.47
2004-07-01,-0.3
2004-08-01,0.05
2004-09-01,0.09
2004-10-01,0.02
2004-11-01,-0.07
2004-12-01,-0.11
2005-01-01,-0.28
2005-02-01,-0.79
2005-03-01,-0.71
2005-04-01,0.13
2005-05-01,0.11
2005-06-01,-0.16
2005-07-01,-0.52
2005-08-01,-0.46
2005-09-01,-0.73
2005-10-01,-0.71
2005-11-01,-0.66
2005-12-01,-0.45
2006-01-01,-0.07
2006-02-01,-0.68
2006-03-01,-0.22
2006-04-01,-0.07
2006-05-01,-0.22
2006-06-01,-0.28
2006-07-01,0.19
2006-08-01,0.31
2006-09-01,0.71
2006-10-01,0.94
2006-11-01,0.89
2006-12-01,0.46
2007-01-01,0.26
2007-02-01,-0.14
2007-03-01,0.19
2007-04-01,0.15
2007-05-01,0.42
2007-06-01,0.34
2007-07-01,0.36
2007-08-01,0.36
2007-09-01,0.36
2007-10-01,0.04
2007-11-01,-0.17
2007-12-01,-0.25
2008-01-01,0.02
2008-02-01,0.07
2008-03-01,0.1
2008-04-01,-0.33
2008-05-01,0.16
2008-06-01,0.49
2008-07-01,0.79
2008-08-01,0.42
2008-09-01,0.06
2008-10-01,0.03
2008-11-01,-0.17
2008-12-01,-0.26
2009-01-01,-0.13
2009-02-01,0.31
2009-03-01,0.39
2009-04-01,-0.03
2009-05-01,-0.13
2009-06-01,0.01
2009-07-01,-0.52
2009-08-01,-0.3
2009-09-01,-0.17
2009-10-01,-0.1
2009-11-01,-0.26
2009-12-01,0.14
2010-01-01,0.42
2010-02-01,0.17
2010-03-01,0.35
2010-04-01,0.44
2010-05-01,-0.21
2010-06-01,-0.14
2010-07-01,-0.17
2010-08-01,-0.34
2010-09-01,-1.16
2010-10-01,-1.07
2010-11-01,-0.99
2010-12-01,-0.39
2011-01-01,-0.05
2011-02-01,-0.03
2011-03-01,0.17
2011-04-01,0.01
2011-05-01,-0.11
2011-06-01,0.06
2011-07-01,-0.04
2011-08-01,0.03
2011-09-01,0.37
2011-10-01,0.47
2011-11-01,0.03
2011-12-01,0.09
2012-01-01,0.1
2012-02-01,-0.08
2012-03-01,0.19
2012-04-01,-0.44
2012-05-01,-0.69
2012-06-01,0.0
2012-07-01,0.51
2012-08-01,0.82
2012-09-01,0.52
2012-10-01,0.3
2012-11-01,0.05
2012-12-01,0.09
2013-01-01,0.06
2013-02-01,-0.09
2013-03-01,-0.03
2013-04-01,-0.15
2013-05-01,-0.62
2013-06-01,-0.51
2013-07-01,-0.36
2013-08-01,-0.22
2013-09-01,-0.34
2013-10-01,-0.22
2013-11-01,-0.06
2013-12-01,-0.25
2014-01-01,-0.15
2014-02-01,-0.07
2014-03-01,-0.44
2014-04-01,-0.19
2014-05-01,-0.08
2014-06-01,-0.24
2014-07-01,-0.4
2014-08-01,-0.57
2014-09-01,-0.51
2014-10-01,-0.02
2014-11-01,0.09
2014-12-01,-0.21
2015-01-01,-0.36
2015-02-01,-0.29
2015-03-01,-0.05
2015-04-01,0.16
2015-05-01,0.17
2015-06-01,0.31
2015-07-01,0.46
2015-08-01,0.51
2015-09-01,0.72
2015-10-01,0.51
2015-11-01,0.44
2015-12-01,0.04
2016-01-01,-0.22
2016-02-01,-0.4
2016-03-01,-0.24
2016-04-01,-0.21
2016-05-01,-0.53
2016-06-01,-0.76
2016-07-01,-1.08
2016-08-01,-0.58
2016-09-01,-0.96
2016-10-01,-0.84
2016-11-01,-0.46
2016-12-01,-0.28
2017-01-01,0.01
2017-02-01,0.05
2017-03-01,0.31
2017-04-01,0.43
2017-05-01,0.61
2017-06-01,0.36
2017-07-01,0.37
2017-08-01,0.72
